time,patch,cohort,dbh,height,pft,nplant,bdead,balive,avgRg
2004,1,1,18.6,1.86,6,0.00954929658551372,0,0,-999
2004,1,2,19,1.9,1,0.00954929658551372,0,0,-999
2004,1,3,26,2.6,1,0.00954929658551372,0,0,-999
2004,1,4,26.7,2.67,1,0.00954929658551372,0,0,-999
2004,1,5,19.9,1.99,6,0.00954929658551372,0,0,-999
2004,1,6,15.7,1.57,2,0.00954929658551372,0,0,-999
2004,1,7,22.5,2.25,6,0.00954929658551372,0,0,-999
2004,2,1,51.5,5.15,2,0.00954929658551372,0,0,-999
2004,2,2,15.9,1.59,4,0.00954929658551372,0,0,-999
2004,2,3,13.5,1.35,6,0.00954929658551372,0,0,-999
2004,2,4,12.7,1.27,1,0.00954929658551372,0,0,-999
2004,2,5,24.8,2.48,6,0.00954929658551372,0,0,-999
